full_name,team,position,age,gp,mpg,fta,ftper,twopA,twoPer,threepA,threePer,ppg,rpg,apg,spg,bpg,topg,versatilityIndex
Sekou Doumbouya,Det,F,20.4,56,15.5,64,0.703,167,0.485,115,0.226,5.1,2.6,0.8,0.43,0.16,0.79,5.7
PJ Dozier,Den,G-F,24.56,50,21.8,66,0.636,205,0.493,149,0.315,7.7,3.6,1.8,0.62,0.44,0.94,6.8
Goran Dragic,Mia,G,35.03,50,26.7,122,0.828,310,0.481,244,0.373,13.4,3.3,4.4,0.66,0.14,2.38,8.7
Andre Drummond,Cle,C,27.77,25,28.9,129,0.597,372,0.484,8,0,17.5,13.5,2.6,1.6,1.16,3.24,11.8
Andre Drummond,Lal,C,27.77,21,24.8,76,0.605,192,0.531,0,0,11.9,10.2,1.4,1.1,0.95,2.05,8.9
Jared Dudley,Lal,F,35.85,12,6.7,0,0,3,0,6,0.333,0.5,1.8,0.4,0.08,0.08,0.17,4.2
Kris Dunn,Atl,G,27.16,4,11.4,4,0.75,10,0.1,2,0,1.3,1.5,0.5,0.5,0.5,0.75,3.5
Kevin Durant,Bro,F,32.63,35,33.1,238,0.882,414,0.577,189,0.45,26.9,7.1,5.6,0.71,1.29,3.43,12.4
Anthony Edwards,Min,G,19.78,72,32.1,272,0.776,690,0.484,520,0.329,19.3,4.7,2.9,1.14,0.49,2.24,8
Carsen Edwards,Bos,G,23.18,31,8.9,13,0.846,48,0.604,63,0.286,4,0.8,0.5,0.23,0.03,0.23,5.3
CJ Elleby,Por,F-G,20.92,30,6.4,15,0.733,32,0.563,34,0.206,2.3,1.1,0.3,0.2,0.1,0.17,5.7
Henry Ellenson,Tor,F-C,24.34,2,19.2,4,0.75,5,0.6,9,0.222,7.5,6,2.5,0,0.5,0,10.1
Wayne Ellington,Det,G,33.46,46,22,35,0.8,63,0.524,275,0.422,9.6,1.8,1.5,0.39,0.2,0.72,5.4
Joel Embiid,Phi,C-F,27.17,51,31.1,548,0.859,745,0.541,154,0.377,28.5,10.5,2.8,0.98,1.35,3.12,12.1
James Ennis III,Orl,F,30.88,41,24.1,87,0.805,139,0.504,104,0.433,8.4,4,1.5,0.78,0.17,0.9,6.1
Drew Eubanks,San,F-C,24.29,54,14,106,0.726,203,0.562,2,1,5.8,4.5,0.8,0.33,0.91,0.83,7.9
Dante Exum,Cle,G,25.84,6,19.4,2,0.5,15,0.533,11,0.182,3.8,2.8,2.2,0.67,0.33,1.17,5.9
Tacko Fall,Bos,C,25.43,18,7.5,15,0.333,29,0.724,0,0,2.6,2.9,0.2,0.06,1.11,0.33,6.1
Derrick Favors,Uta,F,29.84,68,15.3,80,0.738,241,0.643,2,0,5.4,5.5,0.6,0.47,1,0.53,6.8
Cristiano Felicio,Chi,F-C,28.86,18,4.6,16,0.563,11,0.636,2,0,1.3,1.4,0.5,0.22,0,0.22,8.4
Terrance Ferguson,Phi,G,23,13,3.8,0,0,2,0.5,5,0,0.2,0.1,0.2,0.08,0,0.31,1.7
Bruno Fernando,Atl,F-C,22.75,33,6.8,22,0.682,42,0.429,2,0,1.5,2.4,0.3,0.12,0.09,0.64,6
Yogi Ferrell,Cle,G,28.02,2,20.3,2,0,12,0.417,9,0.333,9.5,3.5,2.5,1.5,0.5,1.5,8.6
Yogi Ferrell,Lac,G,28.02,8,12.1,7,1,17,0.353,19,0.316,4.6,1.5,2.1,0.5,0.25,0,8.1
Dorian Finney-Smith,Dal,F,28.04,60,32,41,0.756,164,0.616,302,0.394,9.8,5.4,1.7,0.87,0.4,0.8,5.6
Malik Fitts,Lac,F,20,3,3.6,0,0,1,0,2,0.5,1,1,0,0,0,0,0
Malachi Flynn,Tor,G,23.02,47,19.7,56,0.804,173,0.422,168,0.321,7.5,2.5,2.9,0.83,0.15,0.91,7.7
Bryn Forbes,Mil,G,27.82,70,19.3,61,0.77,188,0.511,341,0.452,10,1.6,0.6,0.33,0.01,0.63,4.4
Trent Forrest,Uta,G,22.93,30,10.1,19,1,45,0.6,26,0.192,2.9,1.5,1.5,0.3,0.13,0.7,7.4
Evan Fournier,Orl,G-F,28.55,26,30.3,123,0.797,181,0.536,188,0.388,19.7,2.9,3.7,1.04,0.35,2.08,7.9
Evan Fournier,Bos,G-F,28.55,16,29.5,14,0.714,77,0.429,95,0.463,13,3.3,3.1,1.25,0.63,1.19,6.9
De'Aaron Fox,Sac,G,23.41,58,35.1,417,0.719,790,0.539,320,0.322,25.2,3.5,7.2,1.5,0.47,3,9.8
Robert Franks,Orl,F,20,7,14.4,13,0.923,13,0.615,15,0.333,6.1,2,0.7,0.43,0.43,0.29,5.7
Tim Frazier,Mem,G,30.54,5,12.4,6,0.333,12,0.25,8,0,1.6,1.6,3.2,0.4,0.2,0.8,6.5
Markelle Fultz,Orl,G,22.97,8,26.9,19,0.895,88,0.42,16,0.25,12.9,3.1,5.4,1,0.25,2.25,8.9
Wenyen Gabriel,Nor,F,24.14,21,11.5,17,0.647,28,0.393,32,0.406,3.4,2.6,0.5,0.43,0.38,0.71,5.7
Daniel Gafford,Chi,F-C,22.63,31,12.4,41,0.659,87,0.69,0,0,4.7,3.3,0.5,0.35,1.1,0.71,6.4
Daniel Gafford,Was,F-C,22.63,23,17.8,67,0.672,138,0.681,0,0,10.1,5.6,0.5,0.65,1.78,0.83,6.8
Danilo Gallinari,Atl,F,32.77,51,24,174,0.925,221,0.466,254,0.406,13.3,4.2,1.5,0.59,0.2,0.84,7.3
Langston Galloway,Pho,G,29.44,40,10.9,23,0.957,62,0.484,85,0.424,4.8,1.1,0.7,0.2,0,0.33,5.7
Darius Garland,Cle,G,21.3,54,33.1,132,0.848,536,0.479,266,0.395,17.4,2.4,6.1,1.22,0.11,3.04,7.7
Marc Gasol,Lal,C,36.3,52,19.1,50,0.72,72,0.528,122,0.41,5,4.1,2.1,0.5,1.12,1.02,7.3
Rudy Gay,San,F-G,34.75,63,21.5,102,0.804,350,0.451,278,0.381,11.4,4.8,1.4,0.73,0.63,1.03,7.9
Paul George,Lac,F,31.04,54,33.7,228,0.868,537,0.51,416,0.411,23.3,6.6,5.2,1.15,0.44,3.31,11
Taj Gibson,Nyk,F,35.9,45,20.8,55,0.727,143,0.671,15,0.2,5.4,5.6,0.8,0.69,1.09,0.49,5.6
Harry Giles III,Por,F-C,23.07,38,9.2,27,0.593,74,0.459,23,0.348,2.8,3.5,0.8,0.21,0.34,0.53,8.6
Shai Gilgeous-Alexander,Okc,G-F,22.85,35,33.7,229,0.808,395,0.547,170,0.418,23.7,4.7,5.9,0.77,0.66,3.03,10.3
Anthony Gill,Was,F,28.58,26,8.4,16,0.813,36,0.639,24,0.292,3.1,2,0.4,0.38,0.15,0.31,6.4
Freddie Gillespie,Tor,F,20,20,19.6,33,0.697,84,0.524,0,0,5.6,4.9,0.5,0.65,1.05,0.6,4.9
Rudy Gobert,Uta,C,28.89,71,30.8,374,0.623,575,0.68,4,0,14.3,13.5,1.3,0.56,2.68,1.66,8.2
Brandon Goodwin,Atl,G,25.62,47,13.2,43,0.651,120,0.433,103,0.311,4.9,1.5,2,0.36,0,0.77,7.4
Aaron Gordon,Orl,F,25.67,25,29.4,105,0.629,181,0.475,112,0.375,14.6,6.6,4.2,0.64,0.8,2.68,10.1
Aaron Gordon,Den,F,25.67,25,25.9,44,0.705,142,0.606,64,0.266,10.2,4.7,2.2,0.68,0.56,1.16,7.3
Eric Gordon,Hou,G,32.39,27,29.2,114,0.825,157,0.573,210,0.329,17.8,2.1,2.6,0.52,0.48,1.89,6.3
Devonte' Graham,Cha,G,26.23,55,30.2,158,0.842,192,0.38,477,0.375,14.8,2.7,5.4,0.87,0.11,1.53,7.9
Jerami Grant,Det,F,27.18,54,33.9,343,0.845,603,0.473,329,0.35,22.3,4.6,2.8,0.65,1.07,2.02,7.8
Danny Green,Phi,G,33.9,69,28,40,0.775,113,0.434,432,0.405,9.5,3.8,1.7,1.33,0.81,0.96,5.6
Draymond Green,Gol,F,31.2,63,31.5,88,0.795,254,0.535,126,0.27,7,7.1,8.9,1.7,0.83,2.98,9.7
JaMychal Green,Den,F-C,30.9,58,19.3,57,0.807,176,0.534,198,0.399,8.1,4.8,0.9,0.45,0.38,0.91,6.8
Javonte Green,Bos,G-F,27.82,25,13.8,30,0.667,49,0.653,22,0.318,4.2,2.1,0.4,0.72,0.08,0.52,4.4
Javonte Green,Chi,G-F,27.82,16,8,10,1,23,0.478,8,0.375,2.6,1.2,0.4,0.63,0.25,0.38,5.4
Jeff Green,Bro,F,34.72,68,27,161,0.776,280,0.564,250,0.412,11,3.9,1.6,0.53,0.4,0.79,6.1
Josh Green,Dal,G,20.5,39,11.4,23,0.565,68,0.559,25,0.16,2.6,2,0.7,0.41,0.08,0.44,5.4
Blake Griffin,Det,F,32.17,20,31.3,62,0.71,98,0.429,124,0.315,12.3,5.2,3.9,0.7,0.1,1.6,8
Blake Griffin,Bro,F,32.17,26,21.5,55,0.782,108,0.574,81,0.383,10,4.7,2.4,0.69,0.5,1.15,9
Kyle Guy,Sac,G,23.77,31,7.6,20,0.8,42,0.381,46,0.283,2.8,1.1,1,0.19,0,0.35,7.7
Rui Hachimura,Was,F,23.27,57,31.5,161,0.77,511,0.519,137,0.328,13.8,5.5,1.4,0.79,0.12,1.19,6
Ashton Hagans,Min,G-F,21.86,2,2.1,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Tyrese Haliburton,Sac,G,21.21,58,30.1,56,0.857,323,0.529,296,0.409,13,3,5.3,1.33,0.48,1.59,7.9
Donta Hall,Orl,C,23.78,13,13.8,34,0.676,35,0.714,0,0,5.6,4.8,0.8,0.38,0.77,0.62,8.1
Josh Hall,Okc,F,20.6,21,16,44,0.5,62,0.419,37,0.108,4.1,2.8,1.3,0.19,0.05,1.19,6.2
R.J. Hampton,Den,G,20.27,25,9.3,12,0.75,42,0.476,18,0.278,2.6,2,0.6,0.2,0.08,0.44,6.3
R.J. Hampton,Orl,G,20.27,26,25.2,70,0.657,184,0.484,69,0.319,11.2,5,2.8,0.62,0.35,1.62,8.6
Tim Hardaway Jr.,Dal,G-F,29.17,70,28.4,174,0.816,382,0.524,529,0.391,16.6,3.3,1.8,0.44,0.16,0.91,6.5
James Harden,Hou,G,31.72,8,36.3,60,0.883,63,0.556,72,0.347,24.8,5.1,10.4,0.88,0.75,4.25,12.1
James Harden,Bro,G,31.72,36,36.6,263,0.856,337,0.552,262,0.366,24.6,8.6,10.9,1.28,0.75,3.97,14.4
Maurice Harkless,Mia,F-G,28.02,11,11.2,2,0,2,0,11,0.455,1.4,1.2,0.6,0.18,0.36,0.27,3.6
Maurice Harkless,Sac,F-G,28.02,26,24.9,41,0.805,79,0.582,73,0.247,6.9,3,1.4,1.08,0.65,0.77,4.9
Jared Harper,Nyk,G,23.67,8,2,4,0.75,3,0,1,0,0.4,0.3,0.1,0,0,0.38,4.6
Montrezl Harrell,Lal,F-C,27.3,69,22.9,256,0.707,593,0.632,10,0,13.5,6.2,1.1,0.67,0.71,1.07,7.9
Gary Harris,Den,G,26.67,19,30.6,30,0.733,81,0.556,75,0.32,9.7,2.5,1.7,0.89,0.21,0.74,4.5
Gary Harris,Orl,G,26.67,20,24.9,48,0.875,123,0.366,66,0.364,10.2,1.6,2.3,0.55,0.3,1.15,5.4
Jalen Harris,Tor,G,22.76,13,13.2,9,0.778,36,0.528,36,0.472,7.4,1.4,1.3,0.62,0,1.08,7.2
Joe Harris,Bro,G-F,29.69,69,31,63,0.778,263,0.555,444,0.475,14.1,3.6,1.9,0.68,0.2,0.9,5.9
Shaquille Harrison,Uta,G,27.61,17,3.3,6,0.833,18,0.333,2,0,1,0.5,0.5,0.12,0,0.29,7.6
Shaquille Harrison,Den,G,27.61,17,16.3,16,0.813,44,0.386,14,0.214,3.3,2.3,0.9,0.88,0.29,0.35,4.7
Tobias Harris,Phi,F,28.84,62,32.5,204,0.892,716,0.546,208,0.394,19.5,6.8,3.5,0.89,0.82,1.73,9.5
Isaiah Hartenstein,Den,C-F,23.03,30,9.1,36,0.611,80,0.513,0,0,3.5,2.8,0.5,0.37,0.67,0.7,7.5
Isaiah Hartenstein,Cle,C-F,23.03,16,17.9,35,0.686,85,0.6,6,0.333,8.3,6,2.5,0.5,1.19,1.44,11.2
Josh Hart,Nor,G,26.2,47,28.7,89,0.775,150,0.587,193,0.326,9.2,8,2.3,0.81,0.26,1.09,7.7
Udonis Haslem,Mia,F,40.94,1,2.7,0,0,2,1,0,0,4,1,0,0,0,0,0
Jaxson Hayes,Nor,C-F,20.98,60,16.1,120,0.775,266,0.635,14,0.429,7.5,4.3,0.6,0.42,0.63,0.65,6.7
Killian Hayes,Det,G,19.81,26,25.8,17,0.824,129,0.395,72,0.278,6.8,2.7,5.3,1.04,0.38,3.19,7.1
Gordon Hayward,Cha,F,31.15,44,34,185,0.843,453,0.499,205,0.415,19.6,5.9,4.1,1.18,0.32,2.07,9.2
Juancho Hernangomez,Min,F,25.63,52,17.3,97,0.619,131,0.573,168,0.327,7.2,3.9,0.7,0.37,0.13,0.52,6.2
Willy Hernangomez,Nor,C-F,26.97,47,18,93,0.667,258,0.581,10,0.1,7.8,7.1,1.1,0.47,0.49,0.72,8.7
Tyler Herro,Mia,G,21.32,54,30.3,117,0.803,402,0.498,297,0.36,15.1,4.9,3.4,0.65,0.31,1.87,8.3
Buddy Hield,Sac,G,28.41,71,34.3,104,0.846,271,0.446,721,0.391,16.6,4.7,3.6,0.89,0.42,1.83,7.6
George Hill,Okc,G,35.04,14,26.3,25,0.84,63,0.619,57,0.386,11.8,2.1,3.1,0.86,0.14,0.86,6.5
George Hill,Phi,G,35.04,16,18.9,25,0.76,54,0.463,23,0.391,6,2,1.9,0.69,0.19,1.19,6
Solomon Hill,Atl,F,30.16,71,21.3,46,0.761,85,0.447,212,0.321,4.4,3,1.1,0.7,0.15,0.59,4.6
Nate Hinton,Dal,G-F,21.94,21,4.4,10,0.7,23,0.478,19,0.211,2,0.4,0.4,0.29,0.1,0.24,6.2
Jaylen Hoard,Okc,F,22.13,19,16.8,41,0.683,77,0.571,11,0,6.1,3.4,1.3,0.68,0.26,0.89,7.1
Aaron Holiday,Ind,G,24.63,66,17.8,83,0.819,254,0.406,182,0.368,7.2,1.3,1.9,0.7,0.2,1,5.9
Jrue Holiday,Mil,G,30.93,59,32.3,136,0.787,540,0.561,283,0.392,17.7,4.5,6.1,1.64,0.63,2.15,9.7
Justin Holiday,Ind,F-G,32.12,72,30.3,85,0.788,172,0.494,453,0.382,10.5,3.6,1.7,1.03,0.57,0.75,5.3
Rondae Hollis-Jefferson,Por,F,26.37,11,9.8,16,0.563,17,0.529,1,0,2.5,2.4,1.2,0.18,0.36,0.18,7.9
Richaun Holmes,Sac,F,27.59,61,29.2,170,0.794,564,0.645,11,0.182,14.2,8.3,1.7,0.64,1.56,1.23,8
Rodney Hood,Por,G-F,28.57,38,19.1,12,0.75,117,0.41,84,0.298,4.7,1.9,1.2,0.53,0.11,0.82,4.6
Rodney Hood,Tor,G-F,28.57,17,12.7,16,0.938,30,0.4,29,0.31,3.9,1.8,0.4,0.24,0.18,0.29,4.4
Al Horford,Okc,C-F,34.95,28,27.9,22,0.818,208,0.51,152,0.368,14.2,6.7,3.4,0.89,0.93,1.04,9.8
Talen Horton-Tucker,Lal,G,20.47,65,20.1,129,0.775,357,0.524,131,0.282,9,2.6,2.8,0.97,0.32,1.63,8
Danuel House Jr.,Hou,F-G,27.94,36,25.9,63,0.651,116,0.483,156,0.346,8.8,3.7,1.9,0.58,0.44,1,6.1
Dwight Howard,Phi,C-F,35.44,69,17.3,210,0.576,283,0.611,20,0.25,7,8.4,0.9,0.43,0.9,1.62,8.7
Markus Howard,Den,G,22.21,37,5.5,9,0.778,41,0.537,65,0.277,2.8,0.6,0.5,0.11,0.03,0.49,6.9
Kevin Huerter,Atl,G-F,22.72,69,30.8,64,0.781,345,0.51,386,0.363,11.9,3.3,3.5,1.19,0.26,1.14,6.7
Elijah Hughes,Uta,G,23.19,18,3.5,4,0.75,7,0.286,23,0.348,1.7,0.5,0.3,0.06,0.06,0.33,7.2
De'Andre Hunter,Atl,F-G,23.46,23,29.5,85,0.859,153,0.582,95,0.326,15,4.8,1.9,0.83,0.52,1.26,7
Chandler Hutchison,Chi,F-G,25.06,7,9.1,2,1,15,0.267,3,0.333,1.9,2.9,0.6,0.14,0,0.71,6.5
Chandler Hutchison,Was,F-G,25.06,18,15.7,23,0.826,66,0.409,19,0.368,5.2,3.2,0.7,0.61,0.28,0.83,5.8
Serge Ibaka,Lac,F,31.66,41,23.3,53,0.811,250,0.588,115,0.339,11.1,6.7,1.8,0.22,1.15,1.07,8.8
Andre Iguodala,Mia,G-F,37.3,63,21.3,38,0.658,66,0.53,182,0.33,4.4,3.5,2.3,0.92,0.52,1.06,6.2
Ersan Ilyasova,Uta,F,34.01,17,8.7,5,1,13,0.231,41,0.439,3.8,1.7,0.2,0.59,0.18,0.47,5
Joe Ingles,Uta,F-G,33.62,67,27.9,90,0.844,156,0.59,406,0.451,12.1,3.6,4.7,0.67,0.18,1.75,8.4
Brandon Ingram,Nor,F,23.7,61,34.3,320,0.878,726,0.51,375,0.381,23.8,4.9,4.9,0.69,0.59,2.51,9.7
Kyrie Irving,Bro,G,29.15,54,34.9,218,0.922,708,0.561,378,0.402,26.9,4.8,6,1.41,0.69,2.39,10.5
Wes Iwundu,Dal,F,26.41,23,12.5,14,0.857,29,0.483,23,0.13,2.1,1.9,0.4,0.39,0.13,0.26,3.7
Wes Iwundu,Nor,F,26.41,18,14,17,0.824,32,0.469,18,0.111,2.8,2.6,0.4,0.33,0.06,0.72,4.1
Jaren Jackson Jr.,Mem,F-C,21.67,11,23.5,42,0.833,65,0.554,60,0.283,14.4,5.6,1.1,1.09,1.64,1.36,7.6
Frank Jackson,Det,G,23.04,40,18.5,75,0.813,143,0.51,150,0.407,9.8,2.2,0.9,0.38,0.03,0.88,5.8
Josh Jackson,Det,G-F,24.26,62,25.2,218,0.729,451,0.486,257,0.3,13.4,4.1,2.3,0.85,0.76,2.29,8
Justin Jackson,Okc,F,26.14,33,16.5,35,0.857,101,0.515,111,0.306,7.2,2.2,1.5,0.45,0.06,0.94,7
Justin Jackson,Mil,F,26.14,1,32.6,2,0.5,3,0.333,6,0.333,9,6,1,0,0,1,4.6
Reggie Jackson,Lac,G,31.09,67,23,82,0.817,303,0.465,282,0.433,10.7,2.9,3.1,0.63,0.1,1.1,8
Justin James,Sac,G-F,24.31,36,8.6,36,0.583,73,0.521,38,0.368,3.9,0.8,0.6,0.22,0.08,0.42,5.7
LeBron James,Lal,F,36.38,45,33.4,255,0.698,537,0.592,285,0.365,25,7.7,7.8,1.07,0.56,3.73,13.7
Mike James,Bro,G,30.75,13,18.2,27,0.778,61,0.377,31,0.355,7.7,2.5,4.2,0.46,0.08,1.54,9.5
DaQuan Jeffries,Sac,G-F,23.71,18,12.9,7,0.857,29,0.517,28,0.321,3.5,1.6,0.3,0.39,0.22,0.44,3.7
DaQuan Jeffries,Hou,G-F,23.71,13,20.1,1,1,24,0.625,39,0.282,4.9,3.2,1.2,0.62,0.46,0.46,5.3
Ty Jerome,Okc,G-F,23.86,33,23.9,34,0.765,119,0.479,168,0.423,10.7,2.8,3.6,0.61,0.18,1.42,8
Isaiah Joe,Phi,G,21.87,41,9.3,24,0.75,27,0.333,106,0.368,3.7,0.9,0.5,0.29,0.1,0.27,5.1
Alize Johnson,Bro,F,25.07,18,10.5,13,1,62,0.629,6,0.167,5.2,5,0.8,0.28,0.28,0.5,10.5
Cameron Johnson,Pho,F,25.2,60,24,59,0.847,148,0.581,335,0.349,9.6,3.3,1.4,0.62,0.27,0.67,5.9
James Johnson,Dal,F,34.24,29,17.4,29,0.586,85,0.612,60,0.25,5.7,3,1.7,0.83,0.79,0.93,7.1
James Johnson,Nor,F,34.24,22,24.5,47,0.596,122,0.516,60,0.267,9.2,4.1,2.2,0.82,0.86,1.27,7.1
Keldon Johnson,San,F-G,21.6,69,28.5,196,0.74,524,0.531,181,0.331,12.8,6,1.8,0.58,0.35,1.13,7.3
Stanley Johnson,Tor,F-G,24.97,61,16.5,55,0.8,96,0.458,137,0.328,4.4,2.5,1.5,0.85,0.31,0.89,6.2
Tyler Johnson,Bro,G,29.03,39,17.5,21,0.857,51,0.471,132,0.364,5.4,2,1.2,0.36,0,0.44,5.4
Nikola Jokic,Den,C,26.24,72,34.6,394,0.868,1056,0.606,237,0.388,26.4,10.8,8.3,1.32,0.67,3.08,15.4
Derrick Jones Jr.,Por,F,24.25,58,22.7,91,0.648,168,0.619,136,0.316,6.8,3.5,0.8,0.64,0.93,0.55,4.7
Damian Jones,Pho,C,25.88,14,6.7,11,0.545,15,0.533,1,0,1.6,1.3,0.3,0.07,0.36,0.43,5.1
Damian Jones,Lal,C,25.88,8,14,12,0.917,17,0.941,0,0,5.4,3.3,0.1,0.13,0.88,0.63,3.5
Damian Jones,Sac,C,25.88,17,20,35,0.714,66,0.682,4,0.25,6.9,4.5,1.4,0.53,1,0.88,7
Mason Jones,Hou,G,22.82,26,11.8,57,0.614,50,0.48,64,0.359,5.8,2,1.5,0.23,0.04,1.08,8.8
Mason Jones,Phi,G,22.82,6,4.5,7,0.714,7,0.571,2,0.5,2.7,0.7,0.5,0.17,0,0.17,8.7
