full_name,pos,age,team,games,games_started,mpg,fg,fga,fgp,threeP,threePA,threePP,twoP,twoPA,twoPP,efg,ft,fta,ftp,orb,drb,rpg,apg,spg,bpg,tpg,fouls,ppg
Frank Kaminsky,C,28,PHO,9,0,20.1,4,7.3,0.545,0.6,1.7,0.333,3.4,5.7,0.608,0.583,2,2.2,0.9,1.2,3.3,4.6,1.4,0.9,0.8,0.6,1.6,10.6
Georgios Kalaitzakis,SF,23,MIL,9,0,5.3,0.6,1.2,0.455,0.2,0.4,0.5,0.3,0.8,0.429,0.545,0.4,1,0.444,0.4,0.4,0.9,0,0.1,0.1,0.4,0.9,1.8
Isaiah Jackson,PF,20,IND,9,0,5.4,0.8,1.9,0.412,0,0,,0.8,1.9,0.412,0.412,0.3,0.7,0.5,0.7,1,1.7,0,0.2,0.2,0.1,1,1.9
Freddie Gillespie,PF,24,ORL,9,2,13.2,1,2.4,0.409,0,0.1,0,1,2.3,0.429,0.409,0.3,0.8,0.429,1.4,2.6,4,0.6,0.3,1,0.6,2,2.3
Devon Dotson,PG,22,CHI,9,0,8.2,1.1,2.1,0.526,0.2,0.8,0.286,0.9,1.3,0.667,0.579,0.6,0.9,0.625,0.1,0.8,0.9,1.1,0.1,0,0.6,1,3
Sharife Cooper,PG,20,ATL,9,0,3.7,0.3,1.4,0.231,0.1,0.6,0.2,0.2,0.9,0.25,0.269,0,0,,0,0.6,0.6,0.6,0,0,0.6,0.1,0.8
Tyler Cook,PF,24,CHI,9,0,10.4,1.4,2.2,0.65,0,0,,1.4,2.2,0.65,0.65,1.6,1.8,0.875,0.7,1.7,2.3,0.3,0.3,0.1,0.4,1.6,4.4
Duane Washington Jr.,PG,21,IND,10,6,21.1,3.1,8.8,0.352,1.2,4.3,0.279,1.9,4.5,0.422,0.42,1.3,1.7,0.765,0.1,1.7,1.8,1.9,0.7,0.1,1.1,0.9,8.7
JT Thor,PF,19,CHO,10,0,10.9,0.9,2.5,0.36,0.3,1.6,0.188,0.6,0.9,0.667,0.42,0.5,0.8,0.625,0.5,0.9,1.4,0.6,0.4,0.6,0.4,1.4,2.6
Admiral Schofield,SF,24,ORL,10,1,15.6,1.9,3.6,0.528,0.5,1.7,0.294,1.4,1.9,0.737,0.597,0,0.1,0,0.2,2.7,2.9,0.9,0.1,0.3,0.8,2.1,4.3
Theo Pinson,SF,26,DAL,10,0,9.3,0.8,2.7,0.296,0.5,2,0.25,0.3,0.7,0.429,0.389,0.4,0.4,1,0,1.6,1.6,1.2,0.4,0.2,0.2,0.9,2.5
Kelly Olynyk,C,30,DET,10,1,23,4.5,9.8,0.459,1.4,4.1,0.341,3.1,5.7,0.544,0.531,2.1,3.5,0.6,1.3,4,5.3,2.3,1.4,0.7,1.5,2.7,12.5
Markieff Morris,PF,32,MIA,10,0,18.7,3.2,7,0.457,0.8,2.2,0.364,2.4,4.8,0.5,0.514,0.5,0.5,1,1.3,1.5,2.8,1.4,0.3,0.1,1.2,2.2,7.7
Elijah Hughes,SF,23,UTA,10,1,6.2,1,1.9,0.526,0.7,1.4,0.5,0.3,0.5,0.6,0.711,0.3,0.3,1,0,0.9,0.9,0.4,0.2,0,0.4,0.4,3
Tim Frazier,PG,31,ORL,10,3,20,1.3,4.3,0.302,0.6,1.7,0.353,0.7,2.6,0.269,0.372,0.5,0.9,0.556,0.5,1.4,1.9,3.3,0.3,0.1,1.3,2.4,3.7
David Duke Jr.,PG,22,BRK,10,7,21.4,2.4,6.7,0.358,0.3,2,0.15,2.1,4.7,0.447,0.381,1.2,1.5,0.8,2.3,2.6,4.9,1.1,0.7,0.5,0.6,2.5,6.3
Gary Clark,PF,27,NOP,10,1,11.7,1.3,2.6,0.5,1.2,2.3,0.522,0.1,0.3,0.333,0.731,0.2,0.4,0.5,0.6,2,2.6,0.4,0.3,0.2,0.3,0.2,4
Marquese Chriss,PF,24,DAL,10,0,11.9,2.6,4.5,0.578,0.4,1,0.4,2.2,3.5,0.629,0.622,0.5,0.8,0.625,0.9,3.2,4.1,0.2,0.2,0.4,0.9,3,6.1
Joe Wieskamp,SG,22,SAS,11,0,5.9,1,1.9,0.524,0.6,1.4,0.467,0.4,0.5,0.667,0.69,0.3,0.6,0.429,0.2,0.3,0.5,0.3,0.2,0.2,0,0.5,2.9
Lance Stephenson,SF-SG,31,TOT,11,0,17.5,3.1,6.3,0.493,0.7,2.3,0.32,2.4,4,0.591,0.551,0.5,0.8,0.667,0.3,2.5,2.8,3.3,0.5,0,1.1,1.7,7.5
Collin Sexton,SG,23,CLE,11,11,28.7,6.2,13.7,0.45,1,4.1,0.244,5.2,9.6,0.538,0.487,2.6,3.5,0.744,1.2,2.1,3.3,2.1,0.9,0,2.8,2.3,16
Jalen Johnson,PF,20,ATL,11,0,4.7,0.7,1.5,0.471,0.2,0.5,0.333,0.5,1,0.545,0.529,0.4,0.5,0.667,0,1.2,1.2,0.1,0,0,0.2,0.3,2
De'Andre Hunter,SF,24,ATL,11,11,27.8,4.5,10.1,0.45,1.4,3.5,0.395,3.2,6.6,0.479,0.518,0.4,0.9,0.4,0.4,2.4,2.7,0.6,0.6,0.3,1.3,2.9,10.8
Tacko Fall,C,26,CLE,11,1,5.4,0.5,1.1,0.417,0,0,,0.5,1.1,0.417,0.417,0.2,0.6,0.286,0.6,1.5,2.1,0.2,0,0.5,0.3,0.3,1.1
Jericho Sims,PF,23,NYK,12,0,7,0.5,0.5,1,0,0,,0.5,0.5,1,1,0.3,0.3,0.75,0.6,1.2,1.8,0.1,0.2,0.4,0.2,0.4,1.3
Jabari Parker,PF,26,BOS,12,0,9.3,1.5,3.2,0.474,0.7,1.3,0.5,0.8,1.8,0.455,0.579,0.8,0.8,1,0.4,1.9,2.3,0.5,0.3,0.1,0.7,1.1,4.4
Kevin Knox,SF,22,NYK,12,0,9.2,1.3,3.3,0.385,0.8,2.3,0.37,0.4,1,0.417,0.513,0.6,0.8,0.7,0.6,1.2,1.8,0.3,0.2,0.1,0.4,0.4,3.9
Kai Jones,C,21,CHO,12,0,2.8,0.3,0.5,0.667,0,0.1,0,0.3,0.4,0.8,0.667,0.1,0.3,0.25,0.1,0.4,0.5,0.2,0,0,0.4,0.2,0.8
Marcus Garrett,SG,23,MIA,12,0,10.7,0.4,1.8,0.238,0.1,0.3,0.25,0.3,1.4,0.235,0.262,0.2,0.4,0.4,0.8,1.2,1.9,0.6,0.4,0.3,0.2,1.3,1.1
Bruno Fernando,C,23,BOS,12,0,2.7,0.3,0.4,0.6,0,0,,0.3,0.4,0.6,0.6,0,0,,0.3,0.3,0.5,0.1,0,0.2,0.3,0.3,0.5
Ed Davis,C,32,CLE,12,2,9.3,0.8,1,0.75,0,0,,0.8,1,0.75,0.75,0.1,0.5,0.167,0.4,2.7,3.1,0.1,0.3,0.6,0.3,1.4,1.6
Isaac Bonga,SF,22,TOR,12,0,5.3,0.3,1.1,0.231,0.1,0.3,0.25,0.2,0.8,0.222,0.269,0.3,0.5,0.667,0.3,0.3,0.6,0.3,0.6,0.2,0.2,0.8,0.9
Javonte Smart,PG,22,MIL,13,1,12.3,0.8,3.3,0.256,0.3,1.4,0.222,0.5,1.9,0.28,0.302,0.4,0.5,0.833,0.3,1.2,1.5,1.1,0.3,0.2,0.7,0.8,2.4
Jay Scrubb,SG,21,LAC,13,0,5.7,1,2.6,0.382,0.4,1.3,0.294,0.6,1.3,0.471,0.456,0.3,0.5,0.667,0.1,0.5,0.6,0.5,0.2,0.2,0.2,0.3,2.7
Solomon Hill,PF,30,ATL,13,1,10.7,0.2,1.5,0.15,0.2,1,0.154,0.1,0.5,0.143,0.2,0,0,,0.5,1.3,1.8,0.9,0.3,0.2,0.1,1.2,0.6
Petr Cornelie,PF,26,DEN,13,0,2.9,0.4,1.2,0.333,0.1,0.6,0.125,0.3,0.5,0.571,0.367,0.2,0.3,0.75,0.5,0.5,1.1,0.2,0.1,0.1,0.3,0.5,1.1
Trendon Watford,SF,21,POR,14,0,7.3,1,2.1,0.467,0,0,,1,2.1,0.467,0.467,0.4,0.9,0.5,0.6,1.6,2.2,0.6,0.1,0.4,0.4,0.6,2.4
Day'Ron Sharpe,PF,20,BRK,14,0,8.1,1.9,3.1,0.628,0.1,0.2,0.333,1.9,2.9,0.65,0.64,0.6,1.2,0.529,1.9,1.6,3.5,0.1,0.2,0.4,0.9,1.4,4.6
Davon Reed,SG,26,DEN,14,2,16.6,1.6,3.6,0.431,0.6,1.6,0.348,1,2,0.5,0.51,0.3,0.4,0.8,0.5,2.7,3.2,1.3,1.1,0.1,0.3,1.7,4
Abdel Nader,SF,28,PHO,14,0,10.4,0.9,2.5,0.343,0.3,1,0.286,0.6,1.5,0.381,0.4,0.4,0.7,0.6,0.3,1.6,1.9,0.5,0.6,0.3,0.8,1.4,2.4
Joe Harris,SF,30,BRK,14,14,30.2,4,8.9,0.452,2.9,6.3,0.466,1.1,2.6,0.417,0.617,0.4,0.4,0.833,0.4,3.6,4,1,0.5,0.1,1.1,2.2,11.3
Vlatko Čančar,PF,24,DEN,14,1,10.9,1.6,2.8,0.564,0.5,0.9,0.583,1.1,1.9,0.556,0.654,0.6,0.9,0.75,0.4,1.2,1.6,0.9,0.1,0.2,0.6,0.9,4.3
Bol Bol,PF,22,DEN,14,0,5.8,1.1,1.9,0.556,0.1,0.3,0.25,1,1.6,0.609,0.574,0.1,0.4,0.4,0.3,1.1,1.4,0.4,0.1,0.1,0.3,0.3,2.4
Jose Alvarado,PG,23,NOP,14,0,7.2,0.6,2.1,0.276,0.4,1.1,0.313,0.2,0.9,0.231,0.362,0.5,0.8,0.636,0.3,0.4,0.6,1.1,0.6,0.1,0.1,0.9,2
Yuta Watanabe,SF,27,TOR,15,3,20.1,2.5,6.4,0.396,1.3,3.5,0.365,1.3,2.9,0.432,0.495,0.8,1.5,0.545,0.9,3.2,4.1,1,0.5,0.5,0.8,1.6,7.1
Matt Thomas,SG,27,CHI,15,0,9.7,1.1,3.1,0.362,0.8,2,0.4,0.3,1.1,0.294,0.489,0.2,0.3,0.75,0.1,0.9,0.9,0.4,0.2,0.1,0.1,0.3,3.3
Jahmi'us Ramsey,SG,20,SAC,15,0,5.5,0.9,2.3,0.412,0.1,0.7,0.182,0.8,1.5,0.522,0.441,0.3,0.7,0.5,0.1,0.3,0.3,0.2,0.1,0.1,0.1,0.3,2.3
Mychal Mulder,PG,27,ORL,15,2,13,1.3,4.5,0.299,0.9,3.1,0.283,0.5,1.4,0.333,0.396,0.1,0.1,1,0.1,1.3,1.4,0.2,0.3,0.1,0.5,0.8,3.7
Wesley Matthews,SG,35,MIL,15,4,20.3,2.6,5.2,0.5,1.6,3.7,0.429,1,1.5,0.682,0.654,0.2,0.4,0.5,0.5,1.5,2.1,0.8,0.4,0.3,0.5,1.5,7
Keon Johnson,SG,19,LAC,15,0,9,1.1,3.4,0.333,0.2,0.7,0.273,0.9,2.7,0.35,0.363,1.1,1.4,0.762,0.4,1,1.4,0.9,0.5,0.1,0.5,1.4,3.5
Usman Garuba,PF,19,HOU,15,0,7,0.5,1.6,0.333,0.1,0.9,0.154,0.4,0.7,0.545,0.375,0.1,0.1,0.5,0.6,1.7,2.3,0.5,0.5,0.4,0.2,0.6,1.3
Greg Brown III,SF,20,POR,15,0,4.9,0.7,1.8,0.37,0,0.3,0,0.7,1.5,0.455,0.37,0.3,0.7,0.364,0.5,0.9,1.3,0.3,0.1,0.3,0.3,0.7,1.6
Ish Wainright,PF,27,PHO,16,0,6.6,0.6,2.1,0.294,0.3,1.3,0.2,0.4,0.9,0.429,0.353,0.1,0.3,0.5,0.7,0.6,1.3,0.5,0.4,0.1,0.4,1.3,1.6
Miye Oni,SG,24,UTA,16,0,2.8,0.1,0.6,0.222,0.1,0.5,0.125,0.1,0.1,1,0.278,0,0.1,0,0.1,0.4,0.4,0.3,0,0,0.1,0.4,0.3
Semi Ojeleye,PF,27,MIL,16,0,17.9,0.9,4.1,0.212,0.5,2.4,0.211,0.4,1.8,0.214,0.273,0.6,0.7,0.818,1.6,2,3.6,0.3,0.3,0.3,0.3,1.6,2.8
Miles McBride,PG,21,NYK,16,2,8.9,0.9,3.3,0.288,0.3,1.7,0.185,0.6,1.6,0.4,0.337,0.2,0.3,0.75,0.1,0.8,0.9,1.2,0.5,0.1,0.2,0.9,2.4
Skylar Mays,SG,24,ATL,16,5,11.4,1.9,3.6,0.544,0.5,1.4,0.348,1.4,2.1,0.676,0.614,0.4,0.4,1,0.3,1.1,1.4,0.8,0.4,0,0.4,0.4,4.8
Boban Marjanović,C,33,DAL,16,0,5.9,2.2,3.5,0.625,0.1,0.2,0.333,2.1,3.3,0.642,0.634,0.5,1,0.5,0.4,1.4,1.9,0.1,0,0.1,0.7,1.2,4.9
Markus Howard,SG,22,DEN,16,0,7.3,1.4,3.9,0.355,1.1,2.9,0.391,0.3,1,0.25,0.5,0.4,0.5,0.875,0,0.3,0.3,0.3,0.4,0,0.4,0.7,4.3
Anthony Gill,PF,29,WAS,16,0,6.8,1.1,1.7,0.667,0.3,0.4,0.714,0.8,1.3,0.65,0.759,0.6,0.8,0.833,0.5,1.1,1.6,0.5,0.1,0.1,0.3,1.1,3.2
Ignas Brazdeikis,SF,23,ORL,16,0,9,0.8,2.6,0.286,0.3,1.4,0.182,0.5,1.3,0.4,0.333,0.3,0.4,0.833,0.4,0.9,1.4,0.5,0.3,0.1,0.3,1,2.1
Joshua Primo,SG,19,SAS,17,3,13.5,1.6,4.1,0.391,0.8,2.2,0.378,0.8,1.9,0.406,0.493,0.5,0.6,0.8,0.4,1.2,1.6,1.2,0.4,0.5,0.7,0.9,4.5
Nerlens Noel,C,27,NYK,17,10,23.1,1.3,2.5,0.512,0,0.1,0,1.3,2.4,0.537,0.512,0.9,1.1,0.833,2.2,3.6,5.8,0.8,1.1,1.5,0.9,2.6,3.5
Rodney McGruder,SG,30,DET,17,0,9.5,1,2.6,0.386,0.3,1.2,0.238,0.7,1.4,0.522,0.443,0.2,0.2,0.75,0.5,1.1,1.6,0.6,0.2,0.1,0.5,0.7,2.5
Robin Lopez,C,33,ORL,17,5,17.8,3.6,6.2,0.575,0,0.2,0,3.6,6.1,0.592,0.575,0.8,1.3,0.591,2.2,1.5,3.7,2,0.1,0.6,1.4,1.9,7.9
Jarrett Culver,SG,22,MEM,17,0,10.6,1.8,4.1,0.435,0.3,1.3,0.227,1.5,2.8,0.532,0.471,0.4,0.8,0.5,0.3,1.4,1.7,1.1,0.5,0.1,0.2,0.9,4.2
DeMarcus Cousins,C,31,MIL,17,5,16.9,3.2,6.9,0.466,0.8,2.8,0.271,2.5,4.1,0.6,0.521,1.8,2.2,0.816,1.4,4.4,5.8,1.1,0.9,0.5,0.9,2.7,9.1
Isaiah Roby,PF,23,OKC,18,5,13.7,2.6,4.7,0.56,0.6,1.2,0.5,2,3.4,0.581,0.625,0.9,1.2,0.762,1.1,2.2,3.3,0.7,0.2,0.3,0.8,1.4,6.7
Kevin Pangos,PG,29,CLE,18,3,8.7,0.8,2.5,0.333,0.3,1.4,0.231,0.5,1.1,0.474,0.4,0.2,0.2,0.75,0.1,0.4,0.6,1.7,0.1,0,0.4,0.6,2.2
Jake Layman,SF,27,MIN,18,1,8.6,0.9,2.6,0.37,0.2,1.3,0.167,0.7,1.2,0.591,0.413,0.3,0.4,0.75,0.2,1.1,1.3,0.3,0.3,0.2,0.4,0.4,2.4
Juancho Hernangómez,PF,26,BOS,18,0,5.3,0.3,1.5,0.185,0.2,1,0.167,0.1,0.5,0.222,0.241,0.3,0.5,0.667,0.5,0.9,1.4,0.2,0.2,0.1,0.3,0.4,1.1
PJ Dozier,SG,25,DEN,18,0,18.9,2,5.5,0.364,0.8,2.7,0.313,1.2,2.8,0.412,0.439,0.6,0.7,0.769,0.8,2.7,3.5,1.6,0.6,0.3,0.7,1.8,5.4
Willie Cauley-Stein,C,28,DAL,18,2,9.8,0.9,1.9,0.457,0.1,0.1,0.5,0.8,1.8,0.455,0.471,0.1,0.1,0.5,0.7,1.4,2.1,0.5,0.3,0.2,0.4,0.9,1.9
James Bouknight,SG,21,CHO,18,0,8.2,1.3,3.7,0.343,0.6,1.6,0.393,0.7,2.2,0.308,0.425,0.4,0.6,0.8,0.8,0.7,1.5,0.8,0.1,0,0.3,0.7,3.6
Charles Bassey,PF,21,PHI,18,0,7.9,1.3,2,0.667,0,0.2,0,1.3,1.8,0.727,0.667,0.4,0.6,0.727,1,2,3,0.3,0.2,0.8,0.4,1.5,3.1
Bam Adebayo,C,24,MIA,18,18,32.9,7,13.5,0.519,0,0.1,0,7,13.4,0.521,0.519,4.7,6.2,0.759,2.7,7.4,10.2,3.2,1.1,0.3,2.9,3.3,18.7
Jalen Smith,PF,21,PHO,19,4,14.3,2.7,5.6,0.491,0.4,1.4,0.259,2.4,4.2,0.57,0.524,1.6,1.9,0.838,2.3,3.1,5.3,0.3,0.2,0.6,0.7,1.7,7.5
Paul Reed,C,22,PHI,19,2,9.4,1.1,2.2,0.476,0,0.2,0,1.1,2,0.526,0.476,0.2,0.3,0.5,1.1,1.4,2.4,0.5,0.6,0.5,0.4,1.5,2.3
Alize Johnson,PF,25,TOT,19,0,7.3,0.7,1.5,0.483,0,0.2,0,0.7,1.3,0.56,0.483,0.2,0.4,0.5,1.1,1.4,2.5,0.4,0.2,0,0.6,0.8,1.7
Chris Chiozza,PG,26,GSW,19,1,11.1,0.7,2.7,0.275,0.6,1.7,0.344,0.2,1,0.158,0.382,0.1,0.1,1,0.4,0.8,1.3,1.7,0.4,0,0.9,1.1,2.1
Trey Burke,PG,29,DAL,19,0,13.6,2.9,6.7,0.43,0.8,2.6,0.327,2.1,4.2,0.494,0.492,0.8,0.9,0.941,0.1,1.1,1.2,2.1,0.4,0,0.8,1,7.5
Coby White,PG,21,CHI,20,6,24.8,4.1,9.1,0.453,1.8,4.8,0.379,2.3,4.3,0.535,0.552,1.5,1.9,0.789,0.2,2.4,2.6,2.4,0.4,0.3,1.2,2.2,11.5
Danuel House Jr.,SF,28,TOT,20,1,14.5,1.5,4.4,0.345,0.7,2.2,0.318,0.8,2.2,0.372,0.425,1,1.1,0.905,0.3,2.2,2.5,1.2,0.3,0.3,1,1.1,4.7
Nic Claxton,C,22,BRK,20,14,22.2,4,6.1,0.656,0,0,,4,6.1,0.656,0.656,1.2,2,0.615,1.9,3.6,5.5,1,0.6,1.2,0.8,2.5,9.2
Jared Butler,SG,21,UTA,20,1,5.7,0.9,2.6,0.346,0.5,1.5,0.333,0.4,1.1,0.364,0.442,0.3,0.5,0.667,0.1,0.7,0.8,0.7,0.2,0.3,0.8,1,2.6
Jalen Suggs,PG,20,ORL,21,21,27.8,4.1,12.2,0.339,1.2,4.9,0.255,2.9,7.4,0.394,0.389,2.8,3.6,0.763,0.8,2.6,3.4,3.6,1.1,0.4,3.2,2.8,12.3
Rajon Rondo,PG,35,TOT,21,0,16.9,1.6,4.5,0.347,0.7,2.1,0.318,0.9,2.4,0.373,0.421,0.3,0.4,0.75,0.5,2.4,2.9,3.9,0.7,0.2,2,1.5,4.1
Elfrid Payton,PG,27,PHO,21,0,12.1,1.7,4.1,0.402,0,0.2,0.2,1.6,3.9,0.415,0.408,0.4,0.7,0.533,0.5,1.6,2.1,1.9,0.5,0.1,1.1,1.1,3.8
KZ Okpala,PF,22,MIA,21,0,11.6,1.4,3.3,0.435,0.4,1.2,0.346,1,2,0.488,0.5,0.4,0.5,0.727,0.5,1.4,2,0.7,0.2,0.3,0.2,1.2,3.7
Marcus Morris,PF,32,LAC,21,21,30.3,5.8,13.3,0.437,2,5.3,0.375,3.8,8,0.479,0.513,2.6,3,0.871,0.6,4.4,5,2.1,0.5,0.3,1.3,2.3,16.2
Naji Marshall,SF,24,NOP,21,0,10.2,1,3.1,0.308,0.1,1.3,0.111,0.8,1.8,0.447,0.331,1.2,1.4,0.862,0.7,2,2.6,1,0.4,0.1,1,1,3.2
Théo Maledon,PG,20,OKC,21,0,13.6,1,3.7,0.282,0.4,2.1,0.182,0.7,1.6,0.412,0.333,1.2,1.4,0.867,0.4,1.4,1.8,1,0.5,0.1,0.9,1,3.7
Saben Lee,PG,22,DET,21,0,15.9,2.1,5.2,0.404,0.6,2,0.279,1.5,3.1,0.485,0.459,1.3,1.8,0.757,0.4,2.1,2.5,2.5,1.1,0.4,0.9,1,6.1
Nathan Knight,PF,24,MIN,21,2,8.5,1.1,2.1,0.533,0.1,0.3,0.286,1,1.8,0.579,0.556,1.3,1.9,0.7,1,1.5,2.5,0.7,0.1,0.3,0.6,1.2,3.7
Andre Iguodala,SF,38,GSW,21,0,20.8,1.7,4.2,0.404,0.6,2.5,0.226,1.1,1.7,0.667,0.472,0.4,0.6,0.75,0.7,2.9,3.6,4.2,0.8,0.7,0.8,1,4.4
CJ Elleby,SF,21,POR,21,0,8.9,1.2,2.7,0.456,0.5,1.4,0.345,0.8,1.3,0.571,0.544,0.3,0.4,0.875,0.6,1.4,2,0.4,0.2,0,0.5,1.2,3.3
Justin Champagnie,SF,20,TOR,21,0,7.7,1.1,2.2,0.511,0.2,0.7,0.333,0.9,1.5,0.594,0.564,0.4,0.4,1,1.3,0.7,2,0.2,0.2,0.1,0.1,1,3
Dillon Brooks,SF,26,MEM,21,20,28,6.9,16.2,0.426,1.6,4.8,0.327,5.3,11.4,0.469,0.475,3,3.4,0.889,0.8,2.5,3.3,2.7,1.3,0.2,1.8,3.3,18.4
Goga Bitadze,C,22,IND,21,0,8.1,0.9,2.8,0.322,0.2,1.3,0.143,0.7,1.5,0.484,0.356,0.5,0.9,0.611,1,1.2,2.2,0.1,0.5,0.5,0.4,1.5,2.5
Aaron Wiggins,SG,23,OKC,22,12,20.9,2.7,5.4,0.496,0.8,2.5,0.315,1.9,3,0.646,0.567,1,1.4,0.71,0.7,2.5,3.1,1.1,0.7,0.2,0.8,1.9,7.1
Denzel Valentine,SG,28,CLE,22,0,9.3,1,2.8,0.371,0.8,2,0.409,0.2,0.8,0.278,0.516,0,0,,0.4,1.3,1.7,0.5,0.3,0,0.5,0.8,2.9
Dennis Smith Jr.,PG,24,POR,22,3,17.1,2.1,5.4,0.395,0.3,1.1,0.24,1.9,4.3,0.436,0.42,1,1.5,0.667,0.5,1.8,2.4,3.3,1.2,0.4,1.5,1.1,5.5
Austin Reaves,SG,23,LAL,22,0,20.3,2,4,0.511,0.8,2.3,0.36,1.2,1.7,0.711,0.614,1,1.1,0.875,0.3,2,2.3,1.1,0.3,0.1,0.5,1.7,5.9
Sandro Mamukelashvili,PF,22,MIL,22,2,11.9,1.5,3.4,0.427,0.6,1.6,0.371,0.9,1.8,0.475,0.513,0.4,0.5,0.75,1.2,1.2,2.4,0.5,0.3,0.3,0.4,0.8,3.9
Jock Landale,C,26,SAS,22,0,9.4,2,3.5,0.579,0.6,1.3,0.5,1.4,2.2,0.625,0.671,0.6,0.7,0.875,1.1,0.8,2,0.9,0.1,0.4,0.6,0.9,5.3
Khem Birch,C,29,TOR,22,6,21.8,2.3,4.6,0.5,0,0.4,0,2.3,4.3,0.543,0.5,1.4,1.9,0.738,2.7,2.6,5.4,1.3,0.9,0.5,0.7,1.8,6
Santi Aldama,PF,21,MEM,22,0,10.9,1.5,3.9,0.376,0.2,1.6,0.114,1.3,2.3,0.56,0.4,0.5,0.9,0.579,1,1.7,2.7,0.6,0.1,0.3,0.4,1,3.6
Thaddeus Young,PF,33,SAS,23,0,14,2.8,5,0.57,0,0.1,0,2.8,4.8,0.586,0.57,0.3,0.8,0.444,1.5,2,3.4,2.4,0.9,0.3,1,1.4,6
Brad Wanamaker,PG,32,TOT,23,2,13.9,1.2,3.3,0.364,0.2,0.7,0.235,1,2.6,0.4,0.39,1,1.1,0.92,0.3,1.4,1.7,2.4,0.3,0.3,1,2,3.6
Zeke Nnaji,PF,21,DEN,23,0,14.7,2,4.2,0.464,0.9,1.9,0.477,1,2.3,0.453,0.572,0.9,1.5,0.571,1,2,3,0.3,0.2,0.3,0.3,1.6,5.7
Paul Millsap,PF,36,BRK,23,0,10.9,1.2,3.4,0.354,0.3,1.1,0.231,1,2.3,0.415,0.392,0.5,0.7,0.706,1.1,2.3,3.4,1,0.2,0.3,0.4,2,3.2
Ben McLemore,SG,28,POR,23,2,15.8,2.8,6.5,0.436,2.1,5.1,0.419,0.7,1.4,0.5,0.601,0.6,0.7,0.867,0.3,1,1.3,0.7,0.3,0.1,0.6,1.3,8.3
Serge Ibaka,C,32,LAC,23,7,16,2.5,5.3,0.471,0.7,1.8,0.381,1.8,3.4,0.519,0.537,0.6,0.9,0.667,1,3,4,1.2,0.2,0.6,1.2,1.8,6.3
